name,energy,flux
Be Breakup,8.217,0.0007450980392156863
Be Breakup,8.283000000000001,0.0008921568627450981
Be Breakup,8.349,0.0007490196078431372
Be Breakup,8.415,0.0007705882352941176
Be Breakup,8.481000000000002,0.000796078431372549
Be Breakup,8.547,0.0007823529411764706
Be Breakup,8.613,0.0008549019607843137
Be Breakup,8.679,0.0008372549019607843
Be Breakup,8.745000000000001,0.0007980392156862745
Be Breakup,8.811,0.0007764705882352942
Be Breakup,8.877,0.000796078431372549
Be Breakup,8.943000000000001,0.0007470588235294118
Be Breakup,9.009,0.0008
Be Breakup,9.075,0.0009470588235294117
Be Breakup,9.141000000000002,0.0009058823529411765
Be Breakup,9.207,0.0008705882352941177
Be Breakup,9.273,0.0008647058823529412
Be Breakup,9.339,0.0008196078431372549
